,0
93,"[[-0.53299999  0.866      -0.15700001]
 [-0.53299999  0.866      -0.16599999]
 [-0.52499998  0.866      -0.175     ]
 ..., 
 [-0.52499998  0.85699999 -0.236     ]
 [-0.52499998  0.875      -0.21799999]
 [-0.52499998  0.84799999 -0.21799999]]"
94,"[[-0.181122   -0.94183302 -0.108673  ]
 [-0.16301    -0.869385   -0.217346  ]
 [-0.144897   -0.77882397 -0.36224401]
 ..., 
 [-0.28979501 -0.851273   -1.30407703]
 [ 0.036224   -1.539536   -1.03239405]
 [ 0.38035601 -2.30024695 -1.24974096]]"
95,"[[ 0.253571   -1.14106798  0.        ]
 [ 0.28979501 -1.19540405 -0.126785  ]
 [ 0.253571   -1.19540405 -0.28979501]
 ..., 
 [ 0.27168301 -0.090561   -0.181122  ]
 [ 0.34413099 -0.144897   -0.525253  ]
 [ 0.59770203 -0.543365   -0.76071203]]"
96,"[[-0.253571   -0.706375   -0.126785  ]
 [-0.19923399 -0.72448701 -0.19923399]
 [-0.108673   -0.706375   -0.126785  ]
 ..., 
 [-0.434692   -0.97805798  0.090561  ]
 [-0.41657999 -0.88749701  0.108673  ]
 [-0.30790699 -0.851273    0.144897  ]]"
97,"[[-0.148       1.01499999 -0.428     ]
 [-0.32300001  1.07599998 -0.40200001]
 [-0.472       1.22500002 -0.41999999]
 ..., 
 [ 0.061       0.52499998 -0.113     ]
 [ 0.078       0.48100001 -0.105     ]
 [ 0.087       0.40200001 -0.052     ]]"
98,"[[ 0.15700001  1.04100001 -0.087     ]
 [ 0.15700001  1.023      -0.113     ]
 [ 0.122       0.97100002 -0.122     ]
 ..., 
 [ 0.096       1.83700001 -0.542     ]
 [ 0.078       1.62699997 -0.498     ]
 [ 0.008       1.39100003 -0.45500001]]"
99,"[[ 0.41657999 -0.50714099 -0.19923399]
 [ 0.38035601 -0.41657999 -0.181122  ]
 [ 0.38035601 -0.38035601 -0.19923399]
 ..., 
 [-0.30790699 -0.63392597  0.090561  ]
 [-0.072449   -0.65203899  0.16301   ]
 [ 0.054337   -0.63392597  0.19923399]]"
100,"[[ 0.235458   -1.01428199 -0.19923399]
 [ 0.16301    -0.94183302 -0.30790699]
 [-0.054337   -0.79693598 -0.090561  ]
 ..., 
 [ 0.434692   -1.14106798  0.126785  ]
 [ 0.45280501 -1.10484302  0.16301   ]
 [ 0.48902899 -1.12295496  0.19923399]]"
101,"[[ 0.131       0.96200001 -0.29699999]
 [ 0.113       0.92699999 -0.32300001]
 [ 0.078       0.90100002 -0.34099999]
 ..., 
 [ 0.37599999  1.995      -0.017     ]
 [ 0.20100001  2.24799991 -0.20100001]
 [ 0.008       1.93299997 -0.45500001]]"
102,"[[-0.19923399  1.03239405 -0.018112  ]
 [-0.19923399  1.03239405 -0.018112  ]
 [-0.19923399  1.03239405 -0.018112  ]
 ..., 
 [-0.19923399  1.03239405 -0.036224  ]
 [-0.19923399  1.06861901 -0.036224  ]
 [-0.19923399  1.03239405 -0.036224  ]]"
103,"[[ 0.235458    0.036224   -0.108673  ]
 [ 0.144897   -0.036224   -0.108673  ]
 [ 0.090561    0.         -0.144897  ]
 ..., 
 [ 0.45280501  1.68443298  0.543365  ]
 [ 0.59770203  1.97422802  1.39463794]
 [ 0.434692    2.082901    1.90177906]]"
104,"[[ 0.235458    0.072449   -0.072449  ]
 [ 0.181122   -0.072449    0.018112  ]
 [ 0.16301    -0.32601899  0.036224  ]
 ..., 
 [ 0.036224   -0.28979501  0.30790699]
 [-0.036224   -0.235458    0.32601899]
 [-0.090561   -0.181122    0.32601899]]"
105,"[[-0.72448701 -0.50714099 -0.48902899]
 [-0.688263   -0.525253   -0.50714099]
 [-0.670151   -0.525253   -0.525253  ]
 ..., 
 [-0.054337   -0.36224401 -1.03239405]
 [-0.036224   -0.34413099 -1.03239405]
 [-0.036224   -0.30790699 -1.08673096]]"
106,"[[-0.144897   -0.99616998  0.144897  ]
 [-0.16301    -0.99616998  0.126785  ]
 [-0.108673   -1.03239405  0.16301   ]
 ..., 
 [-0.16301    -1.05050695  0.108673  ]
 [-0.181122   -1.01428199  0.054337  ]
 [-0.217346   -1.01428199  0.054337  ]]"
107,"[[-0.181122   -0.90560901 -0.27168301]
 [-0.144897   -0.90560901 -0.235458  ]
 [-0.090561   -0.92372102 -0.30790699]
 ..., 
 [ 0.090561   -0.79693598 -0.39846799]
 [ 0.108673   -0.74259901 -0.27168301]
 [ 0.090561   -0.65203899 -0.253571  ]]"
108,"[[ 1.35841405 -1.73877001 -0.39846799]
 [ 1.10484302 -1.61198401 -0.36224401]
 [ 0.90560901 -1.43086195 -0.28979501]
 ..., 
 [ 1.08673096 -2.02856398  0.235458  ]
 [ 1.19540405 -2.13723803  0.072449  ]
 [ 0.90560901 -1.84744298 -0.16301   ]]"
109,"[[-0.018112    0.090561    0.126785  ]
 [-0.018112    0.090561    0.108673  ]
 [-0.018112    0.090561    0.108673  ]
 ..., 
 [-2.10101295 -0.32601899 -0.63392597]
 [-2.082901   -0.253571   -0.76071203]
 [-2.02856398  0.         -0.95994598]]"
110,"[[ 0.035       0.236       0.20100001]
 [ 0.15700001  0.061       0.245     ]
 [ 0.236      -0.008       0.30599999]
 ..., 
 [ 0.20999999  0.33199999  0.061     ]
 [ 0.236       0.463      -0.28799999]
 [ 0.26199999  0.778       1.45200002]]"
111,"[[ 0.41657999 -0.95994598 -0.108673  ]
 [ 0.39846799 -0.97805798 -0.090561  ]
 [ 0.39846799 -0.95994598 -0.126785  ]
 ..., 
 [ 0.41657999 -0.95994598 -0.126785  ]
 [ 0.41657999 -0.97805798 -0.090561  ]
 [ 0.39846799 -0.97805798 -0.126785  ]]"
112,"[[-0.090561   -0.27168301 -0.47091699]
 [-0.054337   -0.28979501 -0.543365  ]
 [-0.108673   -0.235458   -0.65203899]
 ..., 
 [-0.072449   -0.525253   -0.018112  ]
 [-0.108673   -0.63392597 -0.036224  ]
 [-0.090561   -0.74259901 -0.30790699]]"
113,"[[-0.253571   -0.235458   -0.018112  ]
 [-0.217346   -0.235458    0.018112  ]
 [-0.19923399 -0.253571    0.108673  ]
 ..., 
 [-1.52142298 -0.65203899  0.61581397]
 [-1.24974096 -0.63392597  0.50714099]
 [-1.23162794 -0.59770203  0.41657999]]"
114,"[[-0.072449   -0.90560901 -0.434692  ]
 [-0.018112   -0.869385   -0.47091699]
 [-0.090561   -0.90560901 -0.434692  ]
 ..., 
 [-0.16301    -0.59770203 -0.217346  ]
 [-0.108673   -0.59770203 -0.144897  ]
 [-0.108673   -0.57959002 -0.090561  ]]"
115,"[[ 0.126785   -0.217346   -0.16301   ]
 [ 0.144897   -0.235458   -0.16301   ]
 [ 0.108673   -0.217346   -0.144897  ]
 ..., 
 [-0.054337    0.56147802  0.090561  ]
 [-0.108673    0.50714099  0.072449  ]
 [-0.181122    0.45280501  0.072449  ]]"
116,"[[-0.43700001  3.28999996 -1.00600004]
 [-0.51599997  2.89599991 -1.00600004]
 [-0.65600002  2.73799992 -0.98000002]
 ..., 
 [ 0.026      -0.148       0.39300001]
 [ 0.21799999  0.017       0.16599999]
 [ 0.37599999 -0.061       0.        ]]"
117,"[[ 0.183       0.15700001  0.122     ]
 [ 0.236      -0.026       0.052     ]
 [ 0.227      -0.175      -0.096     ]
 ..., 
 [-0.061       0.542       0.25299999]
 [ 0.113       0.76999998  0.34099999]
 [ 0.39300001  1.17200005  0.472     ]]"
118,"[[-0.28979501 -0.34413099 -0.036224  ]
 [-0.39846799 -0.32601899  0.108673  ]
 [-0.434692   -0.181122    0.32601899]
 ..., 
 [ 0.34413099 -1.35841405 -1.19540405]
 [ 0.59770203 -1.46708703 -1.35841405]
 [ 0.74259901 -1.52142298 -1.32218897]]"
119,"[[ 0.20100001  0.227       0.245     ]
 [ 0.20999999  0.122       0.20100001]
 [ 0.30599999 -0.017       0.105     ]
 ..., 
 [-0.32300001  3.43000007  0.51599997]
 [-0.98799998  3.04500008 -0.29699999]
 [-0.71700001  1.53999996  0.035     ]]"
120,"[[ 1.17729199  2.30024695  1.59387195]
 [ 1.01428199  2.30024695  1.43086195]
 [ 0.38035601  2.30024695  0.95994598]
 ..., 
 [-1.43086195  2.15534997  0.61581397]
 [-1.34030199  2.30024695  0.57959002]
 [-1.12295496  2.24591088  0.56147802]]"
121,"[[-0.072449   -0.77882397 -0.28979501]
 [-0.054337   -0.79693598 -0.181122  ]
 [-0.16301    -0.79693598 -0.16301   ]
 ..., 
 [ 0.126785   -1.24974096 -0.47091699]
 [ 0.144897   -1.14106798 -0.235458  ]
 [ 0.181122   -1.03239405 -0.16301   ]]"
122,"[[ 0.48902899  0.         -0.41657999]
 [ 0.57959002 -0.054337   -0.65203899]
 [ 0.50714099 -0.28979501 -0.88749701]
 ..., 
 [-1.34030199 -2.3183589  -0.688263  ]
 [-1.05050695 -2.3183589  -0.434692  ]
 [-0.39846799 -1.93800402 -0.543365  ]]"
123,"[[-0.19923399 -0.97805798 -0.434692  ]
 [-0.38035601 -1.12295496 -0.38035601]
 [-0.706375   -1.24974096 -0.34413099]
 ..., 
 [ 0.108673   -0.79693598  0.072449  ]
 [ 0.235458   -0.59770203  0.30790699]
 [ 0.38035601 -0.525253    0.19923399]]"
124,"[[-0.41657999 -1.26785302  0.32601899]
 [-0.181122   -1.14106798  0.253571  ]
 [-0.054337   -1.14106798  0.126785  ]
 ..., 
 [-0.63392597 -0.16301    -1.01428199]
 [-0.63392597 -0.38035601 -1.05050695]
 [-0.57959002 -0.79693598 -0.83315998]]"
125,"[[ 0.061       0.113       0.052     ]
 [ 0.078       0.14        0.061     ]
 [ 0.131       0.148       0.07      ]
 ..., 
 [-0.227       0.052      -0.043     ]
 [-0.26199999  0.14       -0.14      ]
 [-0.20100001  0.183      -0.21799999]]"
126,"[[ 0.19923399 -0.79693598  0.45280501]
 [ 0.144897   -0.99616998  0.45280501]
 [ 0.072449   -1.34030199  0.543365  ]
 ..., 
 [ 0.144897   -0.97805798 -0.253571  ]
 [ 0.054337   -0.94183302 -0.235458  ]
 [-0.018112   -0.90560901 -0.235458  ]]"
127,"[[ 0.670151   -0.090561   -0.670151  ]
 [ 0.688263   -0.090561   -0.90560901]
 [ 0.50714099 -0.036224   -0.706375  ]
 ..., 
 [ 0.50714099  0.81504798  0.090561  ]
 [ 0.59770203  0.851273    0.19923399]
 [ 0.688263    0.81504798  0.16301   ]]"
128,"[[-0.670151   -0.39846799 -0.543365  ]
 [-0.670151   -0.39846799 -0.525253  ]
 [-0.72448701 -0.39846799 -0.525253  ]
 ..., 
 [ 0.45280501 -0.434692   -0.869385  ]
 [ 0.39846799 -0.38035601 -0.88749701]
 [ 0.45280501 -0.45280501 -0.869385  ]]"
129,"[[-0.235458   -0.97805798 -0.27168301]
 [-0.217346   -0.94183302 -0.253571  ]
 [-0.30790699 -0.869385   -0.27168301]
 ..., 
 [ 0.706375   -1.39463794 -0.88749701]
 [ 0.57959002 -1.48519897 -0.81504798]
 [ 0.28979501 -1.63009596 -0.74259901]]"
130,"[[-0.48902899 -2.3183589  -1.64820898]
 [-0.16301    -2.3183589  -1.48519897]
 [-0.32601899 -1.55764794 -0.76071203]
 ..., 
 [ 0.090561   -1.05050695  0.38035601]
 [-0.181122   -1.10484302  0.56147802]
 [-0.76071203 -1.23162794  0.83315998]]"
131,"[[-0.054337   -0.97805798  0.181122  ]
 [-0.072449   -0.97805798  0.19923399]
 [-0.072449   -0.97805798  0.19923399]
 ..., 
 [ 0.144897   -1.03239405 -0.27168301]
 [ 0.16301    -1.06861901 -0.30790699]
 [ 0.181122   -1.03239405 -0.34413099]]"
132,"[[ 0.30790699 -0.38035601  0.72448701]
 [ 0.56147802 -0.108673    0.79693598]
 [ 0.57959002  0.19923399  0.688263  ]
 ..., 
 [-0.38035601 -1.19540405 -1.39463794]
 [-0.851273   -1.50331104  2.1915741 ]
 [-1.19540405 -1.86555505  0.94183302]]"
133,"[[ 0.253571   -2.01045203 -0.47091699]
 [ 0.253571   -1.72065699 -0.126785  ]
 [ 0.56147802 -1.61198401  0.253571  ]
 ..., 
 [ 0.543365   -2.3183589   0.670151  ]
 [ 0.61581397 -2.3183589   0.706375  ]
 [ 0.30790699 -2.3183589   0.74259901]]"
134,"[[ 0.217346   -0.99616998  0.108673  ]
 [ 0.217346   -1.01428199  0.108673  ]
 [ 0.217346   -1.01428199  0.108673  ]
 ..., 
 [-0.706375   -0.543365   -0.253571  ]
 [-0.72448701 -0.543365   -0.27168301]
 [-0.74259901 -0.56147802 -0.253571  ]]"
135,"[[ 0.525253   -0.61581397 -0.56147802]
 [ 0.56147802 -0.670151   -0.434692  ]
 [ 0.50714099 -0.74259901 -0.47091699]
 ..., 
 [ 0.27168301 -0.57959002 -0.95994598]
 [ 0.27168301 -0.59770203 -0.95994598]
 [ 0.235458   -0.57959002 -0.88749701]]"
136,"[[ 0.41100001  0.91000003 -0.183     ]
 [ 0.41100001  0.91000003 -0.183     ]
 [ 0.41100001  0.91799998 -0.183     ]
 ..., 
 [ 0.41100001  0.89200002 -0.192     ]
 [ 0.41100001  0.91000003 -0.192     ]
 [ 0.41999999  0.90100002 -0.192     ]]"
137,"[[-0.054337   -0.38035601 -0.090561  ]
 [-0.108673   -0.27168301 -0.16301   ]
 [-0.181122   -0.072449   -0.36224401]
 ..., 
 [ 0.036224    0.57959002  0.217346  ]
 [-0.018112    0.90560901  0.253571  ]
 [-0.144897    1.26785302  0.144897  ]]"
138,"[[ 0.706375   -0.108673    0.30790699]
 [ 0.83315998  0.          0.99616998]
 [ 0.76071203 -0.036224    0.41657999]
 ..., 
 [-0.83315998 -1.12295496 -0.63392597]
 [-1.03239405 -1.64820898 -0.94183302]
 [-1.03239405 -2.28213501 -1.19540405]]"
139,"[[ 0.99616998 -1.68443298  0.054337  ]
 [ 0.88749701 -1.63009596  0.126785  ]
 [ 0.543365   -1.39463794  0.108673  ]
 ..., 
 [-0.19923399 -0.79693598 -0.072449  ]
 [-0.108673   -0.76071203  0.036224  ]
 [-0.018112   -0.77882397  0.054337  ]]"
140,"[[ 0.072449   -0.543365   -1.08673096]
 [ 0.054337   -0.543365   -1.08673096]
 [ 0.         -0.525253   -1.05050695]
 ..., 
 [-0.59770203 -1.05050695 -0.688263  ]
 [-0.054337   -1.19540405 -0.38035601]
 [ 0.126785   -0.90560901 -0.30790699]]"
141,"[[ 0.253571   -0.74259901 -0.57959002]
 [ 0.253571   -0.688263   -0.56147802]
 [ 0.235458   -0.688263   -0.57959002]
 ..., 
 [ 0.036224   -1.539536   -0.48902899]
 [-0.543365   -1.77499402  0.217346  ]
 [-1.17729199 -1.23162794  1.57576001]]"
142,"[[-1.01428199 -1.93800402  0.543365  ]
 [-1.43086195 -2.3183589   0.79693598]
 [-1.39463794 -2.3183589   1.30407703]
 ..., 
 [ 0.072449   -0.83315998 -0.30790699]
 [-0.054337   -0.79693598 -0.30790699]
 [-0.126785   -0.76071203 -0.27168301]]"
143,"[[-0.181122   -0.95994598  0.126785  ]
 [-0.181122   -0.95994598  0.126785  ]
 [-0.16301    -0.97805798  0.108673  ]
 ..., 
 [-0.181122   -0.95994598  0.126785  ]
 [-0.181122   -0.95994598  0.126785  ]
 [-0.16301    -0.95994598  0.108673  ]]"
144,"[[-0.434692   -0.36224401  0.036224  ]
 [-0.47091699 -0.39846799  0.19923399]
 [-0.39846799 -0.38035601  0.19923399]
 ..., 
 [-0.28979501 -0.83315998 -1.28596497]
 [-0.41657999 -0.94183302 -1.05050695]
 [-0.39846799 -0.95994598 -0.92372102]]"
145,"[[-0.472       0.82200003 -0.25299999]
 [-0.49000001  0.85699999 -0.25299999]
 [-0.498       0.88300002 -0.25299999]
 ..., 
 [-0.53299999  0.81300002 -0.30599999]
 [-0.542       0.83099997 -0.30599999]
 [-0.53299999  0.83999997 -0.32300001]]"
146,"[[-0.144897   -0.181122   -0.144897  ]
 [ 0.072449   -0.018112   -0.144897  ]
 [ 0.235458    0.054337   -0.217346  ]
 ..., 
 [ 1.66632104 -2.3183589   0.32601899]
 [ 2.30024695 -2.3183589   0.56147802]
 [ 1.93800402 -2.3183589   0.97805798]]"
147,"[[ 0.38035601 -0.036224   -0.32601899]
 [ 0.41657999 -0.181122   -0.126785  ]
 [ 0.34413099 -0.41657999  0.072449  ]
 ..., 
 [ 0.144897    0.108673   -0.054337  ]
 [ 0.16301     0.126785    0.        ]
 [ 0.126785    0.126785    0.018112  ]]"
148,"[[ 0.61199999  2.60700011 -0.113     ]
 [ 0.33199999  2.43199992 -0.15700001]
 [ 0.33199999  1.90699995 -0.192     ]
 ..., 
 [-1.19000006  0.76999998 -0.866     ]
 [-0.95300001  0.65600002 -1.27699995]
 [-0.061       0.32300001 -0.56800002]]"
149,"[[ 0.131      -0.39300001  0.14      ]
 [ 0.087      -0.32300001  0.07      ]
 [ 0.026      -0.078       0.        ]
 ..., 
 [ 0.40200001  0.866       1.30299997]
 [ 1.04999995  1.36500001 -0.48100001]
 [-0.14        1.73199999  1.33000004]]"
150,"[[ 0.75199997  1.75800002  0.192     ]
 [ 0.62099999  1.31200004  0.20100001]
 [ 0.35800001  1.57500005  0.        ]
 ..., 
 [ 0.39300001  0.68199998  0.017     ]
 [ 0.26199999  0.43700001  0.035     ]
 [ 0.122       0.34999999 -0.017     ]]"
151,"[[-0.15700001  1.22500002 -0.078     ]
 [-0.236       1.32099998 -0.078     ]
 [-0.245       1.20700002 -0.131     ]
 ..., 
 [ 0.48100001  1.53100002  0.026     ]
 [ 0.56800002  1.505       0.21799999]
 [ 0.44600001  1.17200005  0.34099999]]"
152,"[[-0.017       0.72600001 -0.428     ]
 [-0.017       0.778      -0.472     ]
 [-0.008       0.85699999 -0.56800002]
 ..., 
 [ 0.271       1.45200002 -0.017     ]
 [ 0.29699999  1.35599995  0.148     ]
 [ 0.39300001  1.25100005  0.28799999]]"
153,"[[-0.48902899 -0.434692   -0.59770203]
 [-0.48902899 -0.99616998 -0.706375  ]
 [-0.543365   -2.06478906 -1.01428199]
 ..., 
 [-0.32601899 -1.06861901 -0.670151  ]
 [-0.32601899 -0.88749701 -0.61581397]
 [-0.34413099 -0.74259901 -0.56147802]]"
154,"[[ 0.15700001  0.59500003  0.        ]
 [ 0.14        0.63       -0.035     ]
 [ 0.14        0.64700001 -0.043     ]
 ..., 
 [-0.131       1.12800002 -0.40200001]
 [-0.39300001  1.04100001 -0.36700001]
 [-0.472       0.99699998 -0.36700001]]"
155,"[[-0.253571   -0.95994598  0.16301   ]
 [-0.27168301 -0.95994598  0.16301   ]
 [-0.28979501 -0.97805798  0.181122  ]
 ..., 
 [-0.27168301 -0.95994598  0.144897  ]
 [-0.27168301 -0.95994598  0.126785  ]
 [-0.27168301 -0.97805798  0.126785  ]]"
156,"[[ 0.036224   -0.81504798 -0.090561  ]
 [ 0.19923399 -0.83315998  0.036224  ]
 [ 0.32601899 -0.81504798  0.108673  ]
 ..., 
 [-1.24974096 -2.3183589  -2.30024695]
 [-0.79693598 -2.3183589  -1.35841405]
 [-0.525253   -1.79310596 -1.12295496]]"
157,"[[-0.144897   -0.45280501 -0.41657999]
 [-0.16301    -0.57959002 -0.74259901]
 [-0.38035601 -0.81504798 -1.08673096]
 ..., 
 [ 0.108673   -1.213516   -1.86555505]
 [-0.28979501 -1.41275001 -0.235458  ]
 [-1.08673096 -1.08673096 -0.181122  ]]"
158,"[[ 0.090561   -1.539536   -0.83315998]
 [ 0.072449   -1.52142298 -0.434692  ]
 [-0.072449   -1.376526   -0.235458  ]
 ..., 
 [-0.38035601 -0.57959002  0.72448701]
 [-0.144897   -0.57959002  0.869385  ]
 [ 0.090561   -0.56147802  0.97805798]]"
159,"[[ 0.072449   -1.05050695 -0.108673  ]
 [ 0.090561   -1.05050695 -0.090561  ]
 [ 0.090561   -1.03239405 -0.090561  ]
 ..., 
 [ 0.072449   -1.03239405 -0.126785  ]
 [ 0.072449   -1.03239405 -0.108673  ]
 [ 0.090561   -1.03239405 -0.108673  ]]"
160,"[[-0.72448701 -0.50714099 -0.50714099]
 [-0.77882397 -0.50714099 -0.434692  ]
 [-0.74259901 -0.543365   -0.45280501]
 ..., 
 [-0.181122   -0.235458   -1.10484302]
 [-0.19923399 -0.253571   -1.05050695]
 [-0.181122   -0.16301    -0.92372102]]"
161,"[[ 0.253571    0.50714099 -0.97805798]
 [ 0.39846799  0.543365   -1.39463794]
 [ 0.61581397  0.88749701 -1.66632104]
 ..., 
 [-0.16301     1.03239405 -0.126785  ]
 [-0.235458    1.12295496 -0.054337  ]
 [-0.28979501  1.30407703 -0.018112  ]]"
162,"[[ 0.434692   -1.26785302 -0.543365  ]
 [ 0.48902899 -1.539536   -0.83315998]
 [ 0.59770203 -2.04667711 -0.83315998]
 ..., 
 [ 0.56147802 -0.48902899 -0.34413099]
 [ 0.61581397 -0.48902899 -0.28979501]
 [ 0.61581397 -0.543365   -0.16301   ]]"
163,"[[-0.41657999  1.26785302  0.97805798]
 [-0.670151    1.59387195  1.01428199]
 [-0.90560901  1.86555505  0.77882397]
 ..., 
 [-0.054337    1.50331104  0.        ]
 [-0.126785    1.70254505  0.018112  ]
 [-0.036224    1.59387195  0.30790699]]"
164,"[[ 0.35800001  1.39100003  0.14      ]
 [ 0.49000001  1.61800003  0.105     ]
 [ 0.65600002  1.898      -0.25299999]
 ..., 
 [-0.57700002  1.49600005 -0.105     ]
 [-0.48100001  1.61800003 -0.236     ]
 [-0.21799999  1.66199994 -0.122     ]]"
165,"[[ 0.19923399 -0.45280501 -0.181122  ]
 [-0.28979501 -0.97805798  0.41657999]
 [-0.036224   -1.539536    0.74259901]
 ..., 
 [ 0.38035601 -0.38035601  1.10484302]
 [ 0.217346   -0.41657999  0.27168301]
 [-0.65203899 -0.181122   -0.57959002]]"
166,"[[ 0.126785   -1.05050695  0.45280501]
 [ 0.072449   -0.97805798  0.434692  ]
 [ 0.036224   -0.97805798  0.36224401]
 ..., 
 [ 0.48902899 -1.41275001  0.126785  ]
 [ 0.48902899 -1.44897497  0.144897  ]
 [ 0.543365   -1.39463794  0.16301   ]]"
167,"[[ 0.126785    0.670151   -0.27168301]
 [ 0.16301     0.61581397 -0.235458  ]
 [ 0.235458    0.61581397 -0.126785  ]
 ..., 
 [ 0.144897    0.851273   -0.018112  ]
 [ 0.072449    0.99616998  0.054337  ]
 [ 0.054337    1.05050695  0.054337  ]]"
168,"[[ 0.235458   -0.57959002 -0.108673  ]
 [ 0.19923399 -0.59770203 -0.144897  ]
 [ 0.217346   -0.61581397 -0.217346  ]
 ..., 
 [-0.27168301 -0.61581397 -0.32601899]
 [-0.27168301 -0.65203899 -0.434692  ]
 [-0.30790699 -0.72448701 -0.50714099]]"
169,"[[-1.12295496 -1.14106798  0.235458  ]
 [-1.05050695 -0.95994598  0.235458  ]
 [-0.63392597 -0.16301    -1.23162794]
 ..., 
 [-1.68443298 -0.79693598 -0.108673  ]
 [-1.39463794 -0.90560901  0.41657999]
 [-1.24974096 -1.10484302  0.670151  ]]"
170,"[[ 0.30599999  0.96200001  0.07      ]
 [ 0.34099999  0.91000003  0.043     ]
 [ 0.35800001  0.866       0.008     ]
 ..., 
 [-0.34099999  1.023      -0.44600001]
 [-0.131       1.23300004 -0.40200001]
 [ 0.34099999  1.33800006 -0.087     ]]"
171,"[[ 0.38499999  0.91799998 -0.192     ]
 [ 0.39300001  0.91799998 -0.192     ]
 [ 0.40200001  0.91799998 -0.192     ]
 ..., 
 [ 0.40200001  0.93599999 -0.175     ]
 [ 0.38499999  0.91000003 -0.183     ]
 [ 0.39300001  0.91799998 -0.175     ]]"
172,"[[ 0.144897    1.05050695 -0.018112  ]
 [ 0.217346    0.97805798 -0.072449  ]
 [ 0.30790699  0.97805798 -0.108673  ]
 ..., 
 [ 0.217346    2.30024695 -1.66632104]
 [ 0.47091699  2.20968604 -0.30790699]
 [ 0.77882397  1.41275001  1.213516  ]]"
173,"[[ 0.99616998 -0.39846799 -0.30790699]
 [ 0.97805798 -0.41657999 -0.28979501]
 [ 0.97805798 -0.39846799 -0.27168301]
 ..., 
 [ 0.072449   -0.39846799 -0.95994598]
 [ 0.036224   -0.434692   -0.97805798]
 [ 0.036224   -0.41657999 -0.97805798]]"
174,"[[-0.19923399  0.869385    0.27168301]
 [-0.217346    0.83315998  0.253571  ]
 [-0.19923399  0.869385    0.253571  ]
 ..., 
 [-0.054337    1.213516   -0.217346  ]
 [-0.126785    1.17729199 -0.30790699]
 [-0.144897    1.10484302 -0.45280501]]"
175,"[[ 0.50714099 -0.90560901 -0.34413099]
 [ 0.56147802 -0.95994598 -0.34413099]
 [ 0.57959002 -0.95994598 -0.32601899]
 ..., 
 [ 0.181122   -1.15918005  0.543365  ]
 [ 0.16301    -1.06861901  0.59770203]
 [ 0.144897   -1.03239405  0.48902899]]"
176,"[[ 0.          1.023      -0.078     ]
 [ 0.          1.023      -0.078     ]
 [ 0.008       1.03199995 -0.078     ]
 ..., 
 [-0.035       0.99699998 -0.20100001]
 [-0.026       1.00600004 -0.183     ]
 [-0.026       1.00600004 -0.183     ]]"
177,"[[ 0.090561   -1.01428199 -0.072449  ]
 [-0.108673   -0.90560901 -0.072449  ]
 [-0.16301    -0.869385   -0.036224  ]
 ..., 
 [-0.253571   -0.74259901  0.30790699]
 [-0.38035601 -0.65203899  0.253571  ]
 [-0.525253   -0.59770203  0.217346  ]]"
178,"[[ 0.34413099 -0.36224401 -0.90560901]
 [ 0.253571   -0.072449   -0.83315998]
 [ 0.30790699 -0.47091699 -0.83315998]
 ..., 
 [ 0.090561   -0.97805798  0.018112  ]
 [ 0.090561   -1.01428199 -0.018112  ]
 [ 0.090561   -1.05050695  0.018112  ]]"
179,"[[-0.144897   -0.41657999  0.38035601]
 [-0.072449   -0.88749701 -0.126785  ]
 [ 0.47091699 -2.3183589   0.56147802]
 ..., 
 [-0.018112   -0.869385    0.072449  ]
 [ 0.072449   -0.88749701  0.126785  ]
 [ 0.144897   -0.95994598  0.217346  ]]"
180,"[[-0.108673   -0.97805798  0.235458  ]
 [-0.108673   -0.97805798  0.217346  ]
 [-0.126785   -0.97805798  0.19923399]
 ..., 
 [-0.126785   -0.97805798  0.235458  ]
 [-0.126785   -0.95994598  0.217346  ]
 [-0.126785   -0.97805798  0.217346  ]]"
181,"[[ 0.525253   -0.76071203  0.38035601]
 [ 0.41657999 -0.65203899  0.253571  ]
 [ 0.34413099 -0.57959002  0.144897  ]
 ..., 
 [ 0.39846799 -0.543365    0.036224  ]
 [ 0.45280501 -0.50714099  0.036224  ]
 [ 0.47091699 -0.45280501 -0.018112  ]]"
182,"[[ 0.28799999  0.68199998 -0.105     ]
 [ 0.25299999  0.68199998 -0.096     ]
 [ 0.20999999  0.67299998 -0.122     ]
 ..., 
 [ 0.122       1.06700003  0.052     ]
 [ 0.122       1.04999995  0.052     ]
 [ 0.122       1.04999995  0.061     ]]"
183,"[[ 0.217346   -0.670151    0.072449  ]
 [ 0.253571   -0.688263    0.108673  ]
 [ 0.16301    -0.670151   -0.054337  ]
 ..., 
 [ 0.30790699 -1.26785302 -0.27168301]
 [ 0.30790699 -1.213516   -0.235458  ]
 [ 0.30790699 -1.08673096 -0.253571  ]]"
184,"[[ 0.144897 -0.108673 -0.072449]
 [ 0.126785 -0.108673 -0.090561]
 [ 0.126785 -0.126785 -0.108673]
 ..., 
 [ 0.144897 -0.235458 -0.16301 ]
 [ 0.126785 -0.253571 -0.253571]
 [ 0.090561 -0.235458 -0.253571]]"
185,"[[ 0.235458   -1.06861901  0.        ]
 [ 0.253571   -1.03239405 -0.036224  ]
 [ 0.19923399 -1.01428199 -0.054337  ]
 ..., 
 [ 0.018112   -0.108673   -1.10484302]
 [ 0.072449   -0.144897   -1.08673096]
 [ 0.018112   -0.144897   -1.08673096]]"
